id,city,birthdate
245,Stockholm,1990-10-02T00:00:00
246,Malmö,1992-06-26T00:00:00
247,Stockholm,1986-04-13T00:00:00
248,Pajala,1997-09-25T00:00:00
249,Uppsala,1983-11-26T00:00:00
250,Uppsala,1989-04-03T00:00:00
251,Linköping,1987-02-23T00:00:00
252,Stockholm,1941-09-21T00:00:00
253,Örebro,1995-12-31T00:00:00
254,Västerås,1999-12-09T00:00:00
255,Uppsala,1983-07-10T00:00:00
256,Stockholm,1962-10-22T00:00:00
257,Stockholm,1997-09-11T00:00:00
258,Örebro,1956-03-08T00:00:00
259,Stockholm,1987-03-04T00:00:00
260,Malmö,1996-11-18T00:00:00
261,Örebro,1988-05-19T00:00:00
262,Västerås,1949-07-02T00:00:00
263,Västerås,1983-04-12T00:00:00
264,Linköping,1981-10-14T00:00:00
265,Stockholm,1992-06-27T00:00:00
266,Uppsala,1949-10-25T00:00:00
267,Uppsala,1988-08-18T00:00:00
268,Stockholm,1949-08-07T00:00:00
269,Uppsala,1994-03-01T00:00:00
270,Västerås,1999-09-29T00:00:00
271,Göteborg,1951-05-20T00:00:00
272,Stockholm,1951-07-06T00:00:00
273,Stockholm,1956-05-08T00:00:00
274,Uppsala,1983-01-14T00:00:00
275,Göteborg,1962-11-09T00:00:00
276,Stockholm,1990-02-02T00:00:00
277,Stockholm,2000-02-29T00:00:00
278,Pajala,1962-01-25T00:00:00
279,Malmö,1994-06-02T00:00:00
280,Göteborg,1998-11-30T00:00:00
281,Linköping,1995-03-25T00:00:00
282,Malmö,1961-08-15T00:00:00
283,Stockholm,1981-03-24T00:00:00
284,Uppsala,1958-11-06T00:00:00
285,Uppsala,1990-06-08T00:00:00
286,Stockholm,1961-12-22T00:00:00
287,Stockholm,1956-05-31T00:00:00
288,Malmö,1960-07-24T00:00:00
289,Stockholm,1956-06-06T00:00:00
290,Västerås,1979-05-28T00:00:00
291,Göteborg,1982-11-14T00:00:00
292,Örebro,1982-09-07T00:00:00
293,Göteborg,1980-12-14T00:00:00
294,Stockholm,1982-03-21T00:00:00
295,Göteborg,1991-03-14T00:00:00
296,Örebro,1998-07-04T00:00:00
297,Stockholm,1980-09-10T00:00:00
298,Linköping,1980-07-05T00:00:00
299,Örebro,1960-11-16T00:00:00
300,Stockholm,1983-05-01T00:00:00
301,Örebro,1990-11-11T00:00:00
302,Göteborg,1953-02-11T00:00:00
303,Stockholm,1957-10-22T00:00:00
304,Örebro,1996-11-16T00:00:00
305,Stockholm,1984-02-18T00:00:00
306,Stockholm,1995-04-02T00:00:00
307,Stockholm,1980-06-19T00:00:00
308,Uppsala,1959-06-08T00:00:00
309,Stockholm,1953-12-06T00:00:00
310,Göteborg,1987-03-14T00:00:00
311,Göteborg,1950-05-25T00:00:00
312,Uppsala,1960-03-04T00:00:00
313,Västerås,1988-12-17T00:00:00
314,Stockholm,1994-09-27T00:00:00
315,Malmö,1982-11-25T00:00:00
316,Stockholm,1956-09-15T00:00:00
317,Stockholm,1996-01-14T00:00:00
318,Göteborg,1963-06-17T00:00:00
319,Uppsala,1956-09-04T00:00:00
320,Malmö,1992-09-27T00:00:00
321,Västerås,1984-01-15T00:00:00
322,Linköping,1951-08-11T00:00:00
323,Stockholm,1988-10-28T00:00:00
324,Örebro,1994-06-03T00:00:00
325,Linköping,1979-07-28T00:00:00
326,Stockholm,1951-02-21T00:00:00
327,Göteborg,1988-09-08T00:00:00
328,Uppsala,1993-01-08T00:00:00
329,Stockholm,1996-03-25T00:00:00
330,Pajala,1989-01-28T00:00:00
331,Stockholm,1995-11-03T00:00:00
332,Stockholm,1989-06-07T00:00:00
333,Stockholm,1989-07-13T00:00:00
334,Göteborg,1990-08-28T00:00:00
335,Stockholm,1963-08-01T00:00:00
336,Stockholm,1986-08-12T00:00:00
337,Stockholm,1995-05-08T00:00:00
338,Uppsala,1997-10-10T00:00:00
339,Stockholm,1992-08-31T00:00:00
340,Uppsala,1957-09-28T00:00:00
341,Malmö,1953-01-09T00:00:00
342,Västerås,1990-08-31T00:00:00
343,Stockholm,1990-10-29T00:00:00
344,Örebro,1986-03-19T00:00:00
345,Linköping,1989-06-21T00:00:00
346,Burträsk,1997-02-02T00:00:00
347,Stockholm,1963-10-09T00:00:00
348,Uppsala,1979-09-09T00:00:00
349,Örebro,1982-08-30T00:00:00
350,Stockholm,1948-11-17T00:00:00
351,Stockholm,1989-04-01T00:00:00
352,Stockholm,1993-05-06T00:00:00
353,Uppsala,1989-11-09T00:00:00
354,Malmö,1956-09-07T00:00:00
355,Linköping,1992-04-11T00:00:00
356,Malmö,1988-01-16T00:00:00
357,Burträsk,1947-08-18T00:00:00
358,Stockholm,1990-07-16T00:00:00
359,Stockholm,1955-04-11T00:00:00
360,Linköping,1953-08-18T00:00:00
361,Göteborg,1946-06-03T00:00:00
362,Västerås,1951-09-25T00:00:00
363,Stockholm,1967-06-26T00:00:00
364,Linköping,1958-06-17T00:00:00
365,Örebro,1959-09-13T00:00:00
366,Göteborg,1997-04-13T00:00:00
367,Stockholm,1985-06-12T00:00:00
368,Stockholm,1977-09-08T00:00:00
369,Göteborg,1994-10-04T00:00:00
370,Västerås,1949-02-16T00:00:00
371,Uppsala,1984-01-26T00:00:00
372,Göteborg,1956-06-10T00:00:00
373,Stockholm,1999-05-19T00:00:00
374,Linköping,1995-07-06T00:00:00
375,Stockholm,1982-02-05T00:00:00
376,Åmål,1964-11-18T00:00:00
377,Uppsala,1956-02-02T00:00:00
378,Uppsala,1952-01-11T00:00:00
379,Örebro,1972-08-24T00:00:00
380,Göteborg,1980-03-31T00:00:00
381,Linköping,1961-05-17T00:00:00
382,Västerås,1955-11-15T00:00:00
383,Örebro,1955-01-03T00:00:00
384,Malmö,1961-04-22T00:00:00
385,Stockholm,1982-03-21T00:00:00
386,Västerås,1958-01-20T00:00:00
387,Stockholm,1989-12-12T00:00:00
388,Stockholm,1993-02-08T00:00:00
389,Linköping,1990-07-18T00:00:00
390,Stockholm,1965-05-07T00:00:00
391,Uppsala,1992-01-22T00:00:00
392,Uppsala,1983-03-22T00:00:00
393,Stockholm,1997-05-22T00:00:00
394,Stockholm,1981-10-22T00:00:00
395,Linköping,1998-03-21T00:00:00
396,Västerås,1993-08-03T00:00:00
397,Stockholm,1961-06-30T00:00:00
398,Göteborg,1993-05-28T00:00:00
399,Göteborg,1995-09-24T00:00:00
400,Stockholm,1971-06-03T00:00:00
401,Örebro,1989-05-31T00:00:00
402,Stockholm,1991-02-22T00:00:00
403,Västerås,1962-03-31T00:00:00
404,Västerås,1980-05-12T00:00:00
405,Stockholm,1986-07-17T00:00:00
406,Örebro,1990-08-04T00:00:00
407,Stockholm,1958-06-13T00:00:00
408,Västerås,1953-08-10T00:00:00
409,Göteborg,1992-04-29T00:00:00
410,Västerås,1975-04-14T00:00:00
411,Göteborg,1997-10-05T00:00:00
412,Stockholm,1966-10-24T00:00:00
413,Burträsk,1957-11-28T00:00:00
414,Västerås,1954-10-18T00:00:00
415,Malmö,1964-01-01T00:00:00
416,Stockholm,1957-05-04T00:00:00
417,Göteborg,1990-09-02T00:00:00
418,Västerås,2004-11-28T00:00:00
419,Linköping,1951-08-24T00:00:00
420,Stockholm,1993-03-03T00:00:00
421,Stockholm,1965-05-05T00:00:00
422,Örebro,1963-01-18T00:00:00
423,Göteborg,1953-10-13T00:00:00
424,Västerås,1985-10-12T00:00:00
425,Stockholm,1987-08-04T00:00:00
426,Örebro,1994-04-10T00:00:00
427,Örebro,1976-03-05T00:00:00
428,Uppsala,1949-02-09T00:00:00
429,Stockholm,1998-09-10T00:00:00
430,Stockholm,1961-04-04T00:00:00
431,Örebro,1993-09-14T00:00:00
432,Malmö,1984-07-13T00:00:00
433,Örebro,1976-09-29T00:00:00
434,Stockholm,1950-11-30T00:00:00
435,Göteborg,1946-02-21T00:00:00
436,Stockholm,1957-05-27T00:00:00
437,Stockholm,1983-02-01T00:00:00
438,Stockholm,1962-01-14T00:00:00
439,Malmö,1990-08-06T00:00:00
440,Stockholm,1994-10-16T00:00:00
441,Stockholm,1990-07-30T00:00:00
442,Stockholm,1966-04-14T00:00:00
443,Göteborg,1962-04-20T00:00:00
444,Stockholm,1979-12-24T00:00:00
445,Göteborg,1995-07-11T00:00:00
446,Göteborg,1998-06-18T00:00:00
447,Stockholm,1991-12-11T00:00:00
448,Malmö,1991-02-26T00:00:00
449,Linköping,1994-03-08T00:00:00
450,Stockholm,1957-09-08T00:00:00
451,Stockholm,1997-02-26T00:00:00
452,Göteborg,1962-10-30T00:00:00
453,Stockholm,1987-11-21T00:00:00
454,Malmö,1984-01-07T00:00:00
455,Stockholm,1953-03-11T00:00:00
456,Stockholm,1961-03-01T00:00:00
457,Linköping,1994-10-19T00:00:00
458,Västerås,1954-09-04T00:00:00
459,Stockholm,1989-07-26T00:00:00
460,Göteborg,1958-08-11T00:00:00
461,Uppsala,1954-12-15T00:00:00
462,Västerås,1992-06-08T00:00:00
463,Stockholm,1988-07-05T00:00:00
464,Linköping,1946-05-07T00:00:00
465,Göteborg,1990-03-26T00:00:00
466,Stockholm,1992-12-24T00:00:00
467,Örebro,1999-09-26T00:00:00
468,Stockholm,1988-11-02T00:00:00
469,Stockholm,1951-01-21T00:00:00
470,Uppsala,1988-05-29T00:00:00
471,Göteborg,1980-11-05T00:00:00
472,Göteborg,1962-03-27T00:00:00
473,Malmö,1956-05-04T00:00:00
474,Göteborg,1985-10-23T00:00:00
475,Stockholm,1955-01-10T00:00:00
476,Örebro,1992-02-25T00:00:00
477,Malmö,2006-03-22T00:00:00
478,Stockholm,1980-02-23T00:00:00
479,Malmö,1953-11-10T00:00:00
480,Västerås,1993-03-25T00:00:00
481,Malmö,1958-10-10T00:00:00
482,Stockholm,1979-06-07T00:00:00
483,Stockholm,1955-04-10T00:00:00
484,Stockholm,1985-10-28T00:00:00
485,Stockholm,1991-09-24T00:00:00
486,Burträsk,1960-01-23T00:00:00
487,Stockholm,1966-05-20T00:00:00
488,Stockholm,1997-05-01T00:00:00
489,Burträsk,1996-01-17T00:00:00
490,Pajala,1993-09-19T00:00:00
491,Stockholm,1996-02-23T00:00:00
492,Göteborg,1991-01-05T00:00:00
493,Stockholm,1963-06-13T00:00:00
494,Stockholm,1984-01-09T00:00:00
495,Västerås,1953-09-10T00:00:00
496,Uppsala,1993-02-02T00:00:00
497,Malmö,2000-12-27T00:00:00
498,Malmö,1990-02-06T00:00:00
499,Västerås,1954-04-30T00:00:00
500,Stockholm,1954-12-21T00:00:00
501,Sverige,1985-05-26T00:00:00
502,Hobbiton,2968-09-22T00:00:00
